order_id,customer_name,sales,profit
CA-2016-152156,Claire Gute,261.96,41.9136
CA-2016-152156,Claire Gute,731.94,219.582
CA-2016-138688,Darrin Van Huff,14.62,6.8714
US-2015-108966,Sean O'Donnell,957.5775,-383.031
US-2015-108966,Sean O'Donnell,22.368,2.5164
CA-2014-115812,Brosina Hoffman,48.86,14.1694
CA-2014-115812,Brosina Hoffman,7.28,1.9656
CA-2014-115812,Brosina Hoffman,907.152,90.7152
CA-2014-115812,Brosina Hoffman,18.504,5.7825
CA-2014-115812,Brosina Hoffman,114.9,34.47
CA-2014-115812,Brosina Hoffman,1706.184,85.3092
CA-2014-115812,Brosina Hoffman,911.424,68.3568
CA-2017-114412,Andrew Allen,15.552,5.4432
CA-2016-161389,Irene Maddox,407.976,132.5922
US-2015-118983,Harold Pawlan,68.81,-123.858
US-2015-118983,Harold Pawlan,2.544,-3.816
CA-2014-105893,Pete Kriz,665.88,13.3176
CA-2014-167164,Alejandro Grove,55.5,9.99
CA-2014-143336,Zuschuss Donatelli,8.56,2.4824
CA-2014-143336,Zuschuss Donatelli,213.48,16.011
CA-2014-143336,Zuschuss Donatelli,22.72,7.384
CA-2016-137330,Ken Black,19.46,5.0596
CA-2016-137330,Ken Black,60.34,15.6884
US-2017-156909,Sandra Flanagan,71.372,-1.0196
CA-2015-106320,Emily Burns,1044.63,240.2649
CA-2016-121755,Eric Hoffmann,11.648,4.2224
CA-2016-121755,Eric Hoffmann,90.57,11.7741
US-2015-150630,Tracy Blumstein,3083.43,-1665.0522
US-2015-150630,Tracy Blumstein,9.618,-7.0532
US-2015-150630,Tracy Blumstein,124.2,15.525
US-2015-150630,Tracy Blumstein,3.264,1.1016
US-2015-150630,Tracy Blumstein,86.304,9.7092
US-2015-150630,Tracy Blumstein,6.858,-5.715
US-2015-150630,Tracy Blumstein,15.76,3.546
CA-2017-107727,Matt Abelman,29.472,9.9468
CA-2016-117590,Gene Hale,1097.544,123.4737
CA-2016-117590,Gene Hale,190.92,-147.963
CA-2015-117415,Steve Nguyen,113.328,35.415
CA-2015-117415,Steve Nguyen,532.3992,-46.9764
CA-2015-117415,Steve Nguyen,212.058,-15.147
CA-2015-117415,Steve Nguyen,371.168,41.7564
CA-2017-120999,Linda Cazamias,147.168,16.5564
CA-2016-101343,Ruben Ausman,77.88,3.894
CA-2017-139619,Erin Smith,95.616,9.5616
CA-2016-118255,Odella Nelson,45.98,19.7714
CA-2016-118255,Odella Nelson,17.46,8.2062
CA-2014-146703,Patrick O'Donnell,211.96,8.4784
CA-2016-169194,Lena Hernandez,45.0,4.95
CA-2016-169194,Lena Hernandez,21.8,6.104
CA-2015-115742,Darren Powers,38.22,17.9634
CA-2015-115742,Darren Powers,75.18,35.3346
CA-2015-115742,Darren Powers,6.16,2.9568
CA-2015-115742,Darren Powers,89.99,17.0981
CA-2016-105816,Janet Molinari,15.26,6.2566
CA-2016-105816,Janet Molinari,1029.95,298.6855
CA-2016-111682,Ted Butterfield,208.56,52.14
CA-2016-111682,Ted Butterfield,32.4,15.552
CA-2016-111682,Ted Butterfield,319.41,7.098
CA-2016-111682,Ted Butterfield,14.56,6.9888
CA-2016-111682,Ted Butterfield,30.0,3.3
CA-2016-111682,Ted Butterfield,48.48,16.362
CA-2016-111682,Ted Butterfield,1.68,0.84
CA-2015-135545,Kunst Miller,13.98,6.1512
CA-2015-135545,Kunst Miller,25.824,9.3612
CA-2015-135545,Kunst Miller,146.73,68.9631
CA-2015-135545,Kunst Miller,79.76,22.3328
US-2015-164175,Paul Stevenson,213.115,-15.2225
CA-2014-106376,Brendan Sweed,1113.024,111.3024
CA-2014-106376,Brendan Sweed,167.968,62.988
CA-2016-119823,Karen Daniels,75.88,35.6636
CA-2016-106075,Henry MacAllister,4.616,1.731
CA-2017-114440,Tracy Blumstein,19.05,8.763
US-2015-134026,Joel Eaton,831.936,-114.3912
US-2015-134026,Joel Eaton,97.04,1.213
US-2015-134026,Joel Eaton,72.784,-18.196
US-2017-118038,Ken Brennan,1.248,-1.9344
